name,location,rest_type,cuisines,cost,online_order,book_table,rate,votes,type
Baker's Cafe,Marathahalli,Bakery,"Bakery, Desserts",200.0,Yes,No,3.5,8,Delivery
Oz Pies,Bellandur,Delivery,"Australian, Continental",400.0,Yes,No,3.8,37,Delivery
Brimstone Cafe,HSR,"Cafe, Casual Dining","Cafe, Continental, Salad, Italian",1300.0,Yes,Yes,4.0,387,Delivery
Jashn,Marathahalli,Casual Dining,North Indian,750.0,Yes,No,3.7,132,Delivery
T.A.K - That Affordable Kitchen,HSR,"Takeaway, Delivery","Continental, North Indian",400.0,Yes,No,3.2,4,Delivery
Up Shawarma,Bellandur,Quick Bites,Arabian,150.0,Yes,No,3.4,13,Delivery
Health Zingo,Bellandur,Casual Dining,"North Indian, Salad, Healthy Food",600.0,No,No,3.8,368,Delivery
Corner Huts,Bellandur,Quick Bites,"North Indian, Chinese, Biryani, South Indian",300.0,Yes,No,3.8,30,Delivery
Half & Half Food Box,Bellandur,Quick Bites,"North Indian, Chinese, Biryani",500.0,Yes,No,3.1,13,Delivery
Food Treat,Bellandur,Quick Bites,"North Indian, South Indian",300.0,Yes,No,3.3,12,Delivery
Hotel Tanish,HSR,Quick Bites,South Indian,250.0,Yes,No,3.6,13,Delivery
Royale Dine,Sarjapur Road,Casual Dining,"North Indian, South Indian, Biryani",600.0,Yes,No,3.5,16,Delivery
Baskin Robbins,Bellandur,Dessert Parlor,"Ice Cream, Desserts",250.0,Yes,No,3.7,48,Delivery
Atithi Family Bar & Restaurant,Bellandur,"Casual Dining, Bar","North Indian, South Indian, Andhra",500.0,Yes,No,3.6,31,Delivery
Meat And Eat,Sarjapur Road,Quick Bites,"Fast Food, Burger",500.0,Yes,No,2.8,39,Delivery
Eatwell Restaurant,Sarjapur Road,Quick Bites,"Biryani, Chinese, North Indian",400.0,Yes,No,3.0,8,Delivery
Angiie's Cafe,Sarjapur Road,Quick Bites,"Burger, Fast Food",450.0,Yes,No,3.7,29,Delivery
Apsara Ice Cream,Bellandur,Dessert Parlor,"Ice Cream, Desserts",200.0,No,No,4.1,83,Delivery
Muscat Restaurant,Marathahalli,Quick Bites,"North Indian, Chinese",400.0,Yes,No,3.0,47,Delivery
Rajtilak Sweets,Sarjapur Road,"Quick Bites, Sweet Shop","Street Food, Fast Food, Mithai",250.0,Yes,No,2.8,20,Delivery
Cake Delights,Sarjapur Road,Bakery,"Bakery, Desserts",500.0,Yes,No,3.6,24,Delivery
Lassi Shack,Sarjapur Road,"Beverage Shop, Dessert Parlor","Beverages, Ice Cream",200.0,Yes,No,3.7,35,Delivery
Kaka Singh,Bellandur,Casual Dining,North Indian,400.0,Yes,No,2.6,42,Delivery
Smoke - The Sizzler House,Bellandur,Casual Dining,"Continental, Chinese, Thai, BBQ, Steak",900.0,Yes,No,3.3,4,Delivery
As On Fire,HSR,Quick Bites,"Pizza, Fast Food, BBQ",400.0,Yes,No,3.8,174,Delivery
Soul Treat,Sarjapur Road,Bakery,"Bakery, Desserts, Healthy Food",750.0,Yes,No,4.3,269,Delivery
Kadala Teera,Sarjapur Road,Casual Dining,"Seafood, South Indian",600.0,Yes,No,3.8,46,Delivery
Biryani Hut,Sarjapur Road,Quick Bites,"North Indian, Biryani",300.0,Yes,No,3.5,9,Delivery
CakeZone,Bellandur,Bakery,"Bakery, Desserts",500.0,No,No,3.7,20,Delivery
Red Stone Kitchen,Marathahalli,Casual Dining,"North Indian, Chinese, Seafood",750.0,Yes,No,3.8,91,Delivery
Second Wife Cafe,HSR,Quick Bites,"Arabian, North Indian",400.0,Yes,No,3.8,60,Delivery
Khan Saheb Grills And Rolls,Sarjapur Road,Quick Bites,"Biryani, Fast Food, Rolls",400.0,Yes,No,3.2,135,Delivery
Paratha's Kitchen,Bellandur,,"North Indian, South Indian",200.0,Yes,No,2.8,32,Delivery
Asia In A Box,Bellandur,Casual Dining,"Thai, Asian",550.0,Yes,No,3.1,9,Delivery
Ram Bhog,Marathahalli,Quick Bites,"Chinese, North Indian",200.0,Yes,No,3.8,24,Delivery
Silsila Restaurant,Sarjapur Road,Casual Dining,"Chinese, North Indian",600.0,Yes,No,3.7,31,Delivery
Keerthi Restaurant,Sarjapur Road,Quick Bites,"North Indian, Chinese",300.0,Yes,No,3.3,11,Delivery
Cafe Mondo,HSR,"Cafe, Casual Dining","Cafe, Italian, Pizza, Chinese",700.0,Yes,No,3.6,484,Delivery
Flying Cakes,Sarjapur Road,Bakery,"Bakery, Desserts",500.0,Yes,No,3.1,15,Delivery
The Vape,HSR,Casual Dining,"Asian, Beverages",800.0,Yes,No,4.0,600,
Indy Palate,Bellandur,Quick Bites,"Continental, Biryani, Italian, North Indian, Chinese",250.0,Yes,No,3.6,14,Delivery
Food Theory,Bellandur,,"Biryani, North Indian, Italian, Chinese, Sandwich, Desserts",500.0,No,No,3.0,88,Delivery
Sri Vasavi Restaurant,Bellandur,Quick Bites,"Chinese, Biryani",250.0,Yes,No,3.6,30,Delivery
Nukkad,Bellandur,Casual Dining,"North Indian, Chinese",500.0,Yes,No,3.0,106,Delivery
Pita Pit,Bellandur,Quick Bites,"Healthy Food, Salad",600.0,Yes,No,3.3,7,Delivery
Milkyway Ice Creams,Bellandur,Food Court,Ice Cream,300.0,Yes,No,3.7,25,Delivery
Reddy's Restaurant,Bellandur,Quick Bites,"Andhra, Biryani, South Indian, Chinese",500.0,Yes,No,3.4,6,Delivery
Take EAT Easy,Sarjapur Road,"Takeaway, Delivery",North Indian,200.0,Yes,No,3.6,20,Delivery
Rasoiya,Sarjapur Road,Delivery,"North Indian, Chinese, Momos",450.0,Yes,No,3.5,43,Delivery
Burrito Boys,Bellandur,Food Court,"Mexican, Tex-Mex",330.0,No,No,2.7,39,Delivery
Dhaba Shaba,Sarjapur Road,Quick Bites,"North Indian, Fast Food",250.0,Yes,No,3.2,61,Delivery
Just Bake,Sarjapur Road,Bakery,"Bakery, Desserts",400.0,Yes,No,2.9,65,
Ghar Ka Chulha,Sarjapur Road,Casual Dining,"North Indian, Chinese",550.0,Yes,No,3.1,117,Delivery
Cafe Daily Bread,Bellandur,"Bakery, Quick Bites","Bakery, Fast Food, Italian",600.0,No,No,3.7,128,Delivery
Lassi Corner,Bellandur,Beverage Shop,"Beverages, Desserts",300.0,No,No,3.2,9,Delivery
Dessi Cuppa,HSR,"Quick Bites, Beverage Shop","Beverages, Fast Food",300.0,Yes,No,3.7,35,Delivery
The Zaika Of Banaras,Marathahalli,Quick Bites,"North Indian, Street Food",350.0,Yes,No,3.4,26,Delivery
Mishmash,HSR,"Casual Dining, Bar","Mediterranean, Continental, North Indian, Mughlai, Salad",1400.0,Yes,No,3.9,1240,Delivery
T Square,Sarjapur Road,Quick Bites,"Fast Food, Street Food",150.0,Yes,No,3.2,4,Delivery
Sri Sai Mango Tree Restaurant,Bellandur,Casual Dining,"North Indian, Biryani, Chinese",600.0,No,No,3.6,336,
Night Diaries,Whitefield,Quick Bites,North Indian,300.0,Yes,No,3.1,16,Delivery
Carnival Cakes & Breads,Bellandur,"Dessert Parlor, Quick Bites","Bakery, Fast Food, Fast Food",200.0,No,No,3.7,23,Delivery
Sai Ram Andhra Mess,Bellandur,Mess,"South Indian, North Indian",300.0,No,No,3.2,6,Delivery
Samosa Corner,Bellandur,Quick Bites,Street Food,100.0,No,No,3.7,32,Delivery
Bhagini,Bellandur,Casual Dining,"Andhra, South Indian, Chinese, North Indian",800.0,No,No,2.3,131,
Kettle & Kegs,Sarjapur Road,Delivery,"Tea, Beverages",200.0,Yes,No,3.3,9,Delivery
Unico,Bellandur,Casual Dining,"North Indian, Biryani, Chinese",550.0,Yes,No,3.7,66,Delivery
New Andhra Spicy,Bellandur,,"North Indian, Chinese, Andhra, South Indian, Biryani",200.0,Yes,No,3.6,11,Delivery
Eat N Drinks,Bellandur,Quick Bites,"Kerala, Beverages",150.0,Yes,No,3.4,7,Delivery
Dosa Time,Sarjapur Road,Takeaway,South Indian,200.0,Yes,No,3.8,106,Delivery
Ammi's Biryani,Bellandur,Quick Bites,"Biryani, North Indian",500.0,No,No,2.8,43,Delivery
Annalakshmi,Bellandur,Casual Dining,"Andhra, Chettinad",700.0,No,No,3.5,28,Delivery
Hotel Shreekshetra,Sarjapur Road,Quick Bites,"North Indian, Chinese",300.0,Yes,No,3.6,10,Delivery
Payohima Ice Creams,Sarjapur Road,Dessert Parlor,Desserts,300.0,Yes,No,3.9,20,Delivery
ReadyBowl,Bellandur,"Takeaway, Delivery","Andhra, South Indian, North Indian, Biryani",300.0,Yes,No,3.6,76,
The Paratha Stories,Koramangala 1st Block,Delivery,North Indian,400.0,Yes,No,3.3,35,Delivery
Al Zaiqa Hotel,Marathahalli,Quick Bites,"Chinese, South Indian, Fast Food",200.0,Yes,No,3.5,14,Delivery
Tandurust,Bellandur,"Takeaway, Delivery","North Indian, South Indian",300.0,No,No,3.6,27,Delivery
Kawaii,HSR,Dessert Parlor,"Desserts, Ice Cream",500.0,Yes,No,3.8,138,Delivery
B.M.W - Bhookh Mitaane Wala,Koramangala 1st Block,Delivery,"North Indian, South Indian, Chinese",500.0,Yes,No,3.7,500,
Hyderabad Biryaani Palace,Bellandur,Casual Dining,"Chinese, South Indian, North Indian, Biryani",700.0,No,No,3.3,12,Delivery
Lucknow Central,Marathahalli,Quick Bites,North Indian,350.0,Yes,No,3.0,21,Delivery
Lovely Knights,Bellandur,Delivery,"North Indian, Chinese",500.0,Yes,No,3.5,356,Delivery
California Burrito,Bellandur,"Food Court, Quick Bites","Mexican, Fast Food",400.0,No,No,3.7,23,Delivery
Archana's First Crush,Sarjapur Road,Bakery,"Bakery, Desserts",400.0,Yes,No,3.7,31,Delivery
Telugu Velugu,Bellandur,Food Court,"South Indian, Biryani",300.0,No,No,3.0,6,Delivery
Gowdaaa Mane Oota,Bellandur,Quick Bites,South Indian,200.0,No,No,3.4,7,Delivery
Mast Kalandar,Bellandur,Casual Dining,North Indian,450.0,No,No,2.1,337,Delivery
Lazeez,Bellandur,"Takeaway, Delivery","North Indian, Mughlai, Biryani",600.0,No,No,2.7,52,Delivery
Bonfooder,Sarjapur Road,Delivery,North Indian,400.0,Yes,No,3.9,36,Delivery
Cafe At The Atelier,Sarjapur Road,Cafe,"Cafe, Continental, Italian, Salad",800.0,Yes,No,4.2,500,Delivery
Hotel Aahaa,Bellandur,Quick Bites,South Indian,200.0,No,No,3.7,25,Delivery
Indori Zaika,Bellandur,"Takeaway, Delivery",North Indian,300.0,No,No,3.2,7,Delivery
Crack That,Bellandur,"Food Court, Quick Bites",Continental,500.0,No,No,3.3,6,Delivery
Yummy Punjabi Delight,Bellandur,Quick Bites,North Indian,500.0,No,No,3.2,6,Delivery
Ande Ka Funda,Bellandur,Quick Bites,Fast Food,150.0,No,No,3.0,21,Delivery
Nandana Mess,Bellandur,Mess,"South Indian, Chinese",350.0,No,No,3.4,7,Delivery
Pots N Pans,Bellandur,Delivery,"North Indian, Chinese, Biryani",600.0,No,No,3.3,5,Delivery
Neetu's Kitchen,Bellandur,"Takeaway, Delivery","Bengali, North Indian",350.0,No,No,3.8,21,Delivery
Chatorr,Bellandur,Quick Bites,"Fast Food, Street Food",400.0,No,No,2.9,78,Delivery
Flamin Grill,Bellandur,Casual Dining,"Lebanese, Turkish, BBQ, Burger",600.0,No,No,3.5,10,Delivery
Sultan's Biryani,Bellandur,Delivery,"Biryani, North Indian",700.0,No,No,3.1,5,Delivery
Eatsomnia,Koramangala 1st Block,Delivery,"North Indian, South Indian, Chinese, Continental",500.0,Yes,No,3.5,435,Delivery
#FeelTheROLL,Bellandur,Quick Bites,Fast Food,200.0,No,No,3.4,7,Delivery
Mast Biryani - Fresh Indian Kitchen,Bellandur,"Takeaway, Delivery","Biryani, North Indian, Mughlai, Fast Food",500.0,No,No,3.2,4,Delivery
Hotel Masthi Kabab,Bellandur,Quick Bites,"North Indian, Chinese",300.0,No,No,3.1,9,Delivery
Al Khwaja,Bellandur,Casual Dining,"North Indian, Chinese",400.0,No,No,3.0,13,Delivery
Spice Of Kolkata,Bellandur,Food Court,"Bengali, Rolls, Chinese",400.0,No,No,2.8,116,Delivery
Spicy Hub,Bellandur,Quick Bites,North Indian,400.0,No,No,3.0,26,Delivery
Devi's Cakes N Bakes,Bellandur,Bakery,"Bakery, Desserts",200.0,No,No,3.6,31,Delivery
Taste Of India,Bellandur,Quick Bites,"North Indian, Rolls",400.0,No,No,3.1,5,Delivery
PiÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ±ata,Bellandur,Bakery,Bakery,400.0,No,No,3.7,19,Delivery
Savi Sagar,Bellandur,"Food Court, Quick Bites","North Indian, South Indian, Chinese",400.0,No,No,3.2,6,Delivery
Spice Garden by Dum Mast Biryani,Bellandur,Casual Dining,"North Indian, South Indian, Biryani, Continental",550.0,No,No,3.2,59,Delivery
Parathabox,Bellandur,Delivery,"Fast Food, North Indian",150.0,No,No,3.8,63,Delivery
La-Pizza,East Bangalore,Delivery,"Italian, Pizza, Burger",450.0,Yes,No,3.6,151,Delivery
Kabab Ghar,Bellandur,"Takeaway, Delivery","Biryani, North Indian, Kebab",600.0,Yes,No,3.1,11,Delivery
Chicken Shawarma Hub,Bellandur,"Takeaway, Delivery","Fast Food, Arabian, Beverages",250.0,No,No,3.1,14,Delivery
Spicy Andhra,Marathahalli,Casual Dining,"Andhra, North Indian, Chinese",600.0,Yes,No,2.9,22,Delivery
Nite Out,Sarjapur Road,Delivery,"North Indian, Chinese, Biryani",500.0,Yes,No,4.0,353,Delivery
Crunch Pizzas,Bellandur,"Takeaway, Delivery","Italian, Pizza",600.0,Yes,No,2.5,52,Delivery
Mughal Samraj,Bellandur,Casual Dining,Fast Food,600.0,Yes,No,3.2,4,Delivery
That Garage Cafe,HSR,Cafe,"Cafe, Italian, Continental, European",650.0,Yes,No,3.1,100,Delivery
Papacream,Sarjapur Road,Dessert Parlor,"Desserts, Ice Cream",350.0,No,No,3.8,28,Delivery
Cupcake Noggins,Sarjapur Road,Dessert Parlor,"Desserts, Bakery",300.0,No,No,3.9,177,Delivery
Burger Crush,Sarjapur Road,Delivery,Fast Food,500.0,No,No,3.2,4,Delivery
Juice Berg,Sarjapur Road,Beverage Shop,Juices,200.0,No,No,3.3,4,Delivery
Wang's Xanadu Momo,HSR,Quick Bites,"Tibetan, Chinese, Momos",250.0,Yes,No,3.8,14,Delivery
Biriyani Bungalow,HSR,Casual Dining,"Biryani, North Indian",600.0,Yes,No,3.1,4,Delivery
Chination,Sarjapur Road,Delivery,Chinese,600.0,Yes,No,3.7,5,Delivery
Chriz Cafe,Sarjapur Road,"Takeaway, Delivery","South Indian, Biryani",400.0,Yes,No,3.5,11,Delivery
Healthy Sapiens,Frazer Town,Delivery,"American, European, Healthy Food",300.0,Yes,No,3.8,22,Delivery
Aaha Andhra,Bellandur,Casual Dining,"Andhra, Biryani, North Indian",900.0,Yes,No,3.7,11,Delivery
Mint Spice CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© & Restaurant,Bellandur,Casual Dining,"North Indian, Chinese",500.0,Yes,No,3.0,12,Delivery
Swathi Deluxe,Marathahalli,Casual Dining,"North Indian, Seafood, Chinese, Biryani",750.0,Yes,Yes,3.9,218,Delivery
Ultra Biriyani Paradise,Sarjapur Road,Quick Bites,Biryani,300.0,Yes,No,3.2,4,Delivery
THE RIG,Sarjapur Road,"Microbrewery, Casual Dining","Continental, Finger Food, Pizza",1500.0,No,Yes,4.3,1585,
Butter Side Up,Bellandur,Dessert Parlor,"Desserts, Bakery",600.0,Yes,No,4.1,111,Delivery
Just Delhiwala,Bellandur,Quick Bites,North Indian,300.0,Yes,No,3.8,80,Delivery
Cafe Talkhouse,HSR,Quick Bites,North Indian,400.0,Yes,No,3.8,23,Delivery
Foodzoo,HSR,Quick Bites,"North Indian, Chinese, Street Food",300.0,Yes,No,3.7,122,Delivery
Mumbai Kulfi,HSR,Dessert Parlor,Ice Cream,100.0,Yes,No,4.0,92,Delivery
Tastebuds,Sarjapur Road,"Bakery, Quick Bites","Bakery, Fast Food",300.0,Yes,No,3.7,23,Delivery
Punjabi Chulla,Bellandur,Delivery,North Indian,300.0,Yes,No,3.2,9,Delivery
Rolls Kitchen,Marathahalli,Quick Bites,"Fast Food, Rolls",250.0,Yes,No,3.2,7,Delivery
Wow Vada Pav,HSR,Quick Bites,"Street Food, Burger, Fast Food",150.0,Yes,No,3.7,40,Delivery
Anand Sweets And Savouries,Sarjapur Road,"Sweet Shop, Quick Bites","Mithai, Street Food",400.0,No,No,4.2,267,Delivery
Nayi Dilli by Anand Sweets,Sarjapur Road,Casual Dining,"North Indian, Chinese",1000.0,No,Yes,4.0,119,Delivery
Cauvery Hyderabadi Biriyani,Marathahalli,Casual Dining,"North Indian, Chinese",600.0,No,No,3.8,111,Delivery
B'Town Cafe & Restaurant,Marathahalli,Food Court,"Arabian, Continental",350.0,No,No,3.5,8,Delivery
Good Food Kitchen,Sarjapur Road,Delivery,North Indian,400.0,No,No,3.4,7,Delivery
Sree Lakshmi Venkateshwara Andhra Mess,Marathahalli,Mess,"Andhra, South Indian",400.0,No,No,3.5,17,Delivery
Baba Da Dhaba,Sarjapur Road,Casual Dining,North Indian,650.0,No,Yes,3.6,32,Delivery
Paratha Plaza,Sarjapur Road,Quick Bites,North Indian,250.0,No,No,3.5,68,Delivery
Delice - Novotel,Marathahalli,"Dessert Parlor, Bakery","Desserts, Bakery",800.0,No,No,3.8,33,Delivery
Lassi Cafe,Sarjapur Road,Beverage Shop,"Beverages, Street Food, North Indian",300.0,No,No,3.6,23,Delivery
Fine Day,Sarjapur Road,Quick Bites,"Biryani, Andhra, North Indian",500.0,No,No,3.1,5,Delivery
Heavenly Desserts,Sarjapur Road,Bakery,Bakery,300.0,No,No,3.6,10,Delivery
Kriti Dugar,Marathahalli,Dessert Parlor,Desserts,200.0,No,No,3.4,5,Delivery
Nandhini Deluxe,Sarjapur Road,Casual Dining,"Andhra, North Indian",800.0,No,No,2.9,108,Delivery
WOW MOMO,Marathahalli,"Takeaway, Delivery","Tibetan, Momos",300.0,No,No,3.4,10,Delivery
Lluvia Bakery,Sarjapur Road,"Takeaway, Delivery",Bakery,350.0,Yes,No,3.4,11,Delivery
Rolls On Wheels,Sarjapur Road,Quick Bites,"Fast Food, Rolls, Momos",300.0,No,No,3.5,132,Delivery
Helloo Delhi,Sarjapur Road,,North Indian,1000.0,Yes,No,3.2,34,Delivery
Smokin Bites,Sarjapur Road,Quick Bites,"North Indian, Chinese",200.0,Yes,No,3.4,20,Delivery
Health Gourmet,Sarjapur Road,"Takeaway, Delivery","Continental, American, Mediterranean, Healthy Food",600.0,Yes,No,3.8,117,Delivery
Detox Kitchen,HSR,"Takeaway, Delivery","Healthy Food, Beverages, Salad",500.0,Yes,No,3.1,9,Delivery
China On My Plate,Bellandur,Casual Dining,Chinese,800.0,Yes,No,2.8,23,Delivery
Paratha King,Bellandur,Quick Bites,North Indian,300.0,Yes,No,3.1,19,Delivery
Kakatiya's,HSR,Quick Bites,"South Indian, Biryani",250.0,Yes,No,3.1,6,Delivery
Hyderabadi Biryani Hub,Bellandur,Casual Dining,"Biryani, North Indian, Chinese",600.0,Yes,No,3.5,19,Delivery
Hangouts @ Kashish Caterers,HSR,Delivery,"Biryani, Kebab",400.0,Yes,No,3.4,10,Delivery
Go Gharelu,Marathahalli,"Takeaway, Delivery","North Indian, Biryani",250.0,Yes,No,3.1,69,Delivery
Tempteys,HSR,"Beverage Shop, Dessert Parlor",Beverages,500.0,Yes,No,3.7,39,Delivery
Savours,Sarjapur Road,Quick Bites,"North Indian, South Indian, Chinese",350.0,Yes,No,3.3,10,Delivery
Polar Bear,Bellandur,Dessert Parlor,"Ice Cream, Desserts, Beverages, Sandwich",400.0,Yes,No,4.2,213,Desserts
Just Bake,Bellandur,Bakery,"Bakery, Desserts",400.0,No,No,3.7,36,Desserts
Oven Fresh,Bellandur,"Bakery, Food Court","Bakery, Fast Food",600.0,No,No,3.2,8,Desserts
Coffee Bike,Bellandur,Kiosk,"Fast Food, Beverages",250.0,No,No,3.7,15,Desserts
Cake Dilim,Bellandur,Bakery,"Bakery, Desserts",400.0,Yes,No,3.3,10,Desserts
Bangalore Agarwal Bhavan,Bellandur,"Sweet Shop, Quick Bites","Mithai, Street Food, Fast Food",200.0,No,No,3.2,4,Desserts
Squeez Juice Bars,Bellandur,Beverage Shop,"Beverages, Fast Food",200.0,No,No,3.3,10,Desserts
Natural Ice Cream,Sarjapur Road,Dessert Parlor,"Ice Cream, Desserts",150.0,No,No,4.3,384,Desserts
Frozen Bottle,Sarjapur Road,Beverage Shop,"Beverages, Desserts, Ice Cream",400.0,Yes,No,3.6,13,Desserts
Homemade Delite,HSR,Takeaway,"Bakery, Desserts",200.0,No,No,3.6,21,Desserts
Hokey Pokey Ice Creams,Sarjapur Road,Dessert Parlor,"Ice Cream, Desserts",350.0,No,No,3.9,75,Desserts
Minus 4,Sarjapur Road,Dessert Parlor,Desserts,300.0,No,No,3.3,4,Desserts
Warm Oven,Sarjapur Road,Bakery,"Bakery, Desserts",500.0,Yes,No,3.9,93,Desserts
Chullah Chandigarh,Bellandur,Casual Dining,North Indian,800.0,No,No,4.2,308,
Dalchini,Bellandur,Casual Dining,North Indian,700.0,No,No,4.0,225,Dine-out
BG's Poolside Bar & Grill,Bellandur,"Casual Dining, Bar","Mediterranean, Italian, Mexican",1600.0,No,Yes,4.1,106,Dine-out
Glassy,Bellandur,Club,"North Indian, Chinese",1400.0,No,Yes,4.2,707,Dine-out
Moriz Restaurant,Bellandur,Casual Dining,"Arabian, North Indian, Seafood, Chinese, Biryani",800.0,Yes,No,2.6,74,Dine-out
Drunken Monkey,Bellandur,Kiosk,"Beverages, Fast Food",400.0,Yes,No,3.4,11,Dine-out
Andhra Spicy,Bellandur,Quick Bites,"Andhra, Biryani",400.0,No,No,3.5,11,Dine-out
White Horse Pulse Resto Bar,Bellandur,Pub,"North Indian, Chinese",1000.0,No,No,3.3,6,Dine-out
Reddy's Paradise,Bellandur,Casual Dining,Andhra,700.0,Yes,No,3.3,4,Dine-out
Palki Grand,Bellandur,Casual Dining,"North Indian, Chinese, Biryani, Mangalorean",500.0,No,No,2.9,16,Dine-out
Chung Wah,Bellandur,Casual Dining,"Chinese, Thai",400.0,No,No,2.9,17,Dine-out
Spicy Punjabi Pharatha,Bellandur,Casual Dining,"North Indian, South Indian, Chinese",500.0,Yes,No,2.7,33,Dine-out
Kolkata Famous Kati Roll,Bellandur,Kiosk,"Fast Food, Rolls",100.0,No,No,3.4,7,Dine-out
Punjabi Tadka,Bellandur,Casual Dining,"North Indian, Chinese",400.0,No,No,2.6,270,Dine-out
KFC,Bellandur,"Quick Bites, Food Court","Burger, Fast Food",450.0,No,No,3.6,20,Dine-out
Subway,Bellandur,Food Court,"Salad, Fast Food",600.0,Yes,No,3.6,12,Dine-out
Pathankot Punjabi Restaurant,Bellandur,Food Court,North Indian,350.0,No,No,3.2,5,Dine-out
Roll junction,Bellandur,Food Court,"Fast Food, Rolls",150.0,No,No,3.1,8,Dine-out
Burger King,Bellandur,Food Court,"Burger, Fast Food, Beverages",600.0,No,No,3.5,21,Dine-out
Noodles,Bellandur,Food Court,Chinese,400.0,No,No,3.4,4,Dine-out
Kolkata Famous Kati Rolls,Bellandur,Quick Bites,"Fast Food, Rolls",100.0,No,No,3.6,18,Dine-out
Harvest Market,Bellandur,Food Court,"Continental, Pizza",500.0,No,No,3.7,19,Dine-out
TRP -That Roll Place,Bellandur,"Quick Bites, Food Court","Fast Food, Rolls",200.0,No,No,3.6,14,Dine-out
Sri Krishna Upahar,Bellandur,Quick Bites,South Indian,250.0,No,No,3.6,25,Dine-out
Quick Bites Food Junction,Bellandur,Quick Bites,"North Indian, South Indian, Street Food, Chinese",300.0,No,No,3.2,4,Dine-out
Uttar Karnataka Lunch Home,Bellandur,Quick Bites,South Indian,150.0,No,No,3.1,6,Dine-out
Maa Vooru,Bellandur,Quick Bites,Fast Food,300.0,No,No,3.3,4,Dine-out
Ambur Biriyani Centre,Bellandur,Quick Bites,Biryani,150.0,No,No,3.3,6,Dine-out
Inhouse Burger,Bellandur,Food Court,Fast Food,400.0,No,No,3.6,10,Dine-out
OPUS Club,Sarjapur Road,Pub,"Continental, Italian, North Indian, Mexican",1900.0,No,Yes,4.4,1496,
Vapour Brewpub and Diner,Sarjapur Road,"Microbrewery, Pub","North Indian, Continental, Italian",1400.0,No,Yes,4.6,2726,
Blue Terrain - Novotel,Marathahalli,Fine Dining,"Spanish, Italian, Mediterranean",2000.0,No,Yes,4.2,505,Dine-out
Asia Alive - DoubleTree Suites By Hilton,Sarjapur Road,Fine Dining,"Continental, Thai, Malaysian, Burmese, Korean, Vietnamese, Chinese, North Indian",2000.0,No,Yes,4.1,237,Dine-out
The Square - Novotel,Marathahalli,Fine Dining,"Continental, North Indian, Japanese, Italian",2500.0,No,Yes,4.3,760,Dine-out
Purani Dilli By Anand Sweets,Sarjapur Road,Quick Bites,"North Indian, Continental, Street Food",500.0,No,No,4.1,239,Dine-out
Beijing Bites,Sarjapur Road,Casual Dining,"Chinese, Thai",850.0,Yes,No,3.5,341,Dine-out
Kritunga Restaurant,Sarjapur Road,Casual Dining,"Andhra, Biryani",600.0,No,No,2.6,330,Dine-out
Nanda's,Sarjapur Road,Casual Dining,"North Indian, Chinese, Andhra",600.0,Yes,No,3.3,213,Dine-out
Chez Nous - Novotel,Marathahalli,Lounge,"European, French, North Indian",2500.0,No,Yes,3.9,125,Dine-out
Wimpie,Sarjapur Road,Casual Dining,"South Indian, North Indian, Continental, Chinese",600.0,No,No,3.3,4,Dine-out
Le Charcoal Xpress,Sarjapur Road,Quick Bites,"Arabian, Lebanese, Chinese, Rolls",500.0,Yes,No,3.5,53,Dine-out
Madurai Idly Shop,Sarjapur Road,Quick Bites,South Indian,200.0,No,No,2.2,187,Dine-out
Bengaluru's Biryanis Paradise,Marathahalli,Quick Bites,Biryani,300.0,No,No,3.7,26,Dine-out
Quiznos,Sarjapur Road,Quick Bites,American,500.0,No,No,3.3,17,Dine-out
Ambur Star Biryani,Sarjapur Road,Quick Bites,Biryani,200.0,No,No,3.5,22,Dine-out
Kabab Magic,Sarjapur Road,Quick Bites,"North Indian, Kebab, Chinese, Fast Food",400.0,Yes,No,2.9,317,Dine-out
Ambur Biryani Point,Sarjapur Road,Quick Bites,Biryani,150.0,No,No,3.3,8,Dine-out
Just Shawarma,Sarjapur Road,Quick Bites,Arabian,300.0,Yes,No,3.8,170,Dine-out
Ebony,MG Road,Casual Dining,"North Indian, South Indian",1500.0,Yes,Yes,4.3,3126,Buffet
Kitchen On Table,Brigade Road,Casual Dining,"Japanese, Sushi, Asian",1500.0,Yes,No,4.0,48,Buffet
Panchavati Gaurav Thali,Brigade Road,Casual Dining,"Rajasthani, Gujarati",800.0,Yes,Yes,4.0,929,Buffet
Saatvikk,Brigade Road,Casual Dining,"North Indian, South Indian, Continental",650.0,No,No,2.8,130,Buffet
70 Brigade - Iris Hotel,Brigade Road,Casual Dining,"Chinese, North Indian, Pizza",1000.0,No,Yes,3.9,105,Buffet
Monarch,Brigade Road,Casual Dining,"North Indian, Chinese, Continental, South Indian",700.0,No,No,3.6,10,Buffet
Olive Bar And Kitchen,Richmond Road,Casual Dining,"Mediterranean, European, Salad",1800.0,No,Yes,4.5,2194,
JW Kitchen - JW Marriott Bengaluru,Lavelle Road,Fine Dining,"North Indian, Continental, Italian",2200.0,No,Yes,4.4,2111,
